Stock Number,Year_presale,Make_presale,Model_presale,Mileage,Grade_presale,Run Number_presale,Lane_presale
71511,2011,Acura,MDX,132545,3.3,2-0047,2
69420,2006,Ford,F150,118662,,2-0048,2
71607,2021,Toyota,Avalon,56620,4.2,2-0053,2
71605,2014,Volkswagen,Jetta,93488,3.6,2-0057,2
71609,2009,Honda,Accord,171932,,2-0060,2
71610,2013,Volkswagen,Jetta,79641,3.5,2-0061,2
71075,2017,Toyota,Prius,140721,4.4,2-0071,2
71531,2010,Toyota,Camry,120920,,2-0075,2
71663,2018,Nissan,Altima,122576,,2-0084,2
71552,2014,INFINITI,QX80,271646,,2-0098,2
68750,2017,Hyundai,Sonata,80464,1.3,3-0008,3
67178,2017,Ford,Explorer,111441,2.5,3-0009,3
68240,2020,Toyota,Corolla,130064,2.3,3-0010,3
69374,2009,Chevrolet,Corvette,154586,3.7,3-0015,3
69382,2018,Chevrolet,Cruze,99865,2.4,3-0018,3
68345,2018,Dodge,Grand Caravan,117964,2.8,3-0020,3
68866,2015,Buick,Verano,148387,2.6,3-0025,3
69211,2015,Ford,Explorer,173115,1.9,3-0026,3
69344,2017,Toyota,Camry,225864,2.2,3-0029,3
69861,2020,Toyota,Tacoma,137091,4.1,3-0035,3
70454,2019,Hyundai,Kona,23302,4.8,3-0038,3
69972,2019,Hyundai,Elantra,61320,4.6,3-0042,3
69941,2019,Land Rover,Range Rover Velar,88146,3.2,3-0048,3
64803,2021,Toyota,Venza,101606,4.5,3-0051,3
70372,2021,Dodge,Charger,107257,2.5,3-0052,3
66409,2021,Jeep,Grand Cherokee L,116369,3.7,3-0053,3
69804,2017,Jeep,Cherokee,142473,4.1,3-0058,3
68410,2016,Chevrolet,Trax,35815,3.7,3-0063,3
54401,2023,Chevrolet,Malibu,68237,1.5,3-0064,3
69969,2013,Subaru,XV Crosstrek,118529,2.0,3-0073,3
65929,2017,Hyundai,Elantra,83244,2.3,3-0074,3
70260,2016,Hyundai,Sonata,114651,1.6,3-0082,3
71647,2020,Honda,Fit,52890,4.8,4-0017,4
71593,2017,Toyota,Highlander,151689,4.0,4-0019,4
71597,2020,Ford,T150 Vans,102509,3.9,4-0023,4
71601,2019,Chevrolet,Equinox,104542,3.4,4-0025,4
71614,2015,Toyota,4Runner,182571,4.5,4-0026,4
71613,2017,Cadillac,CTS,121433,3.7,4-0027,4
70401,2015,Ram,1500,140239,1.3,4-0075,4
69216,2015,Nissan,Pathfinder,155478,3.3,4-0086,4
70248,2016,Honda,Accord,231735,2.5,4-0087,4
70563,2015,Jeep,Compass,141263,1.9,4-0089,4
71247,2017,Nissan,Sentra,160035,2.6,4-0092,4
53675,2019,Hyundai,Elantra,79226,,5-0001,5
71212,2017,Kia,Optima,114253,3.6,5-0002,5
70074,2022,Ram,2500,47381,,5-0003,5
70318,2019,Ford,Fusion,98516,1.6,5-0021,5
70310,2017,Chevrolet,Impala,189906,2.5,5-0023,5
68825,2019,Nissan,Altima,77770,3.9,5-0027,5
71492,2023,Ram,1500,87683,1.8,5-0032,5
69296,2020,Ford,F150,77565,4.5,5-0033,5
68029,2016,Hyundai,Santa Fe Sport,138125,3.6,5-0034,5
70485,2018,Chevrolet,Equinox,92017,,5-0035,5
70286,2020,Ford,Fusion,112106,,5-0036,5
71666,2015,Chevrolet,Impala,187325,,5-0050,5
71624,2007,Mercedes-Benz,E Class,179588,,5-0051,5
71629,2013,Subaru,Impreza,119265,3.5,5-0052,5
71641,2006,BMW,X5,166690,,5-0053,5
71217,2012,Jeep,Grand Cherokee,224010,3.7,5-0060,5
69239,2007,Lexus,RX 350,170117,2.2,5-0069,5
69242,2013,Ford,F150,125530,2.7,5-0070,5
70428,1999,Ecstasy,Trike,7349,3.0,5-0075,5
70380,2017,Mitsubishi,Outlander Sport,160950,3.7,5-0086,5
59508,2013,Nissan,Pathfinder,85846,,5-0087,5
71210,2010,Cadillac,SRX,130411,2.7,5-0092,5
69561,2015,Kia,Soul,120265,0.0,9-0502,9
69284,2016,Ford,Fusion,135059,0.0,9-0505,9
58293,2014,Dodge,Journey,153314,0.0,9-0510,9
69705,2015,Chevrolet,Equinox,169578,0.0,9-0515,9
68190,2020,Jeep,Compass,176088,0.0,9-0518,9
69285,2020,Nissan,Kicks,91983,0.0,9-0528,9
68767,2019,Kia,Soul,99999,1.5,9-0536,9
70457,2018,Ford,Escape,121944,1.3,9-0552,9
71358,2013,Hyundai,Genesis Coupe,1,,9-0571,9
71651,2014,Hyundai,Sonata,1,,9-0592,9
65296,2017,GMC,Acadia,153565,,9-0617,9
70295,2010,Toyota,RAV4,1,2.6,9-0624,9
69528,2014,Hyundai,Sonata,106154,,9-0625,9
71137,2010,Ford,F150,233512,,9-0632,9
