Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price,upload_date,auction
28,2-0036,70937,2022,Ford,Expedition,XLT,WHITE,57980,Yes,3.7,2026-04-29,2,34000.0,2026-04-29 11:41:52,UAX Memphis
41,9-0524,67939,2015,Ford,Expedition,XLT,RED,198810,Yes,0.0,2026-04-29,9,900.0,2026-04-29 11:41:52,UAX Memphis
0,15-0001,71695,2024,Ford,Explorer,,WHITE,54048,No,,2026-04-29,15,28000.0,2026-04-29 11:41:52,UAX Memphis
7,9-0628,71017,2014,Ford,Explorer,XLT,GRAY,1,Yes,,2026-04-29,9,450.0,2026-04-29 11:41:52,UAX Memphis
6,1-0062,71677,2013,Ford,Explorer,Limited,BROWN,192801,Yes,,2026-04-29,1,1200.0,2026-04-29 11:41:52,UAX Memphis
24,10-0014,71565,2023,Ford,F150,XLT,GRAY,52761,Yes,4.6,2026-04-29,10,35000.0,2026-04-29 11:41:52,UAX Memphis
0,6-0006,71476,2022,Ford,F150,XLT,WHITE,142339,Yes,,2026-04-29,6,21000.0,2026-04-29 11:41:52,UAX Memphis
34,2-0097,70654,2020,Ford,F150,XL,GRAY,114909,Yes,2.8,2026-04-29,2,13600.0,2026-04-29 11:41:52,UAX Memphis
29,3-0071,66653,2019,Ford,F150,XL,RED,108060,Yes,3.0,2026-04-29,3,13600.0,2026-04-29 11:41:52,UAX Memphis
41,4-0069,68821,2018,Ford,F150,XLT,BLACK,190948,Yes,2.5,2026-04-29,4,5300.0,2026-04-29 11:41:52,UAX Memphis
18,1-0073,71635,2018,Ford,F150,XLT,WHITE,160504,Yes,,2026-04-29,1,5300.0,2026-04-29 11:41:52,UAX Memphis
0,6-0001,71353,2017,Ford,F150,Platinum,GRAY,109685,Yes,,2026-04-29,6,24500.0,2026-04-29 11:41:52,UAX Memphis
19,4-0029,71617,2015,Ford,F150,King Ranch,BROWN,127048,Yes,4.3,2026-04-29,4,18300.0,2026-04-29 11:41:52,UAX Memphis
15,2-0076,71532,2015,Ford,F150,XL,GRAY,194742,Yes,,2026-04-29,2,6000.0,2026-04-29 11:41:52,UAX Memphis
30,2-0073,71530,2011,Ford,F150,FX4,BLACK,183941,Yes,2.9,2026-04-29,2,8000.0,2026-04-29 11:41:52,UAX Memphis
17,2-0028,71466,2008,Ford,F150,XLT,GOLD,94846,Yes,,2026-04-29,2,5000.0,2026-04-29 11:41:52,UAX Memphis
0,6-0007,71479,2024,Ford,F250SD,Lariat,WHITE,12060,Yes,,2026-04-29,6,72000.0,2026-04-29 11:41:52,UAX Memphis
28,9-0520,69320,2008,Ford,F250SD,XL,BLUE,185572,Yes,0.0,2026-04-29,9,2600.0,2026-04-29 11:41:52,UAX Memphis
32,9-0517,68682,2013,Ford,F350SD,XL,RED,175699,Yes,0.0,2026-04-29,9,2000.0,2026-04-29 11:41:52,UAX Memphis
46,9-0508,69231,2015,Ford,Fiesta,SE,BLUE,145858,Yes,0.0,2026-04-29,9,800.0,2026-04-29 11:41:52,UAX Memphis
26,9-0511,68208,2017,Ford,Focus,Titanium,GRAY,158345,Yes,0.0,2026-04-29,9,1850.0,2026-04-29 11:41:52,UAX Memphis
26,2-0019,71322,2016,Ford,Focus,SE,RED,126379,Yes,3.8,2026-04-29,2,500.0,2026-04-29 11:41:52,UAX Memphis
14,9-0629,71093,2020,Ford,Fusion,SE,WHITE,1,Yes,,2026-04-29,9,2000.0,2026-04-29 11:41:52,UAX Memphis
29,4-0076,68888,2020,Ford,Fusion,SE,WHITE,79918,Yes,1.9,2026-04-29,4,7050.0,2026-04-29 11:41:52,UAX Memphis
23,4-0011,71542,2019,Ford,Fusion,SEL,GOLD,143796,Yes,4.5,2026-04-29,4,5900.0,2026-04-29 11:41:52,UAX Memphis
46,3-0013,68870,2017,Ford,Fusion,Platinum,WHITE,202692,Yes,1.6,2026-04-29,3,1700.0,2026-04-29 11:41:52,UAX Memphis
19,4-0095,71559,2017,Ford,Fusion,SE,BLACK,103304,Yes,3.6,2026-04-29,4,2850.0,2026-04-29 11:41:52,UAX Memphis
45,9-0553,70463,2017,Ford,Fusion,SE,GRAY,142498,Yes,1.0,2026-04-29,9,800.0,2026-04-29 11:41:52,UAX Memphis
37,3-0087,63117,2017,Ford,Fusion,SE,GRAY,158472,Yes,2.4,2026-04-29,3,2600.0,2026-04-29 11:41:52,UAX Memphis
5,5-0056,71688,2015,Ford,Fusion,SE,GRAY,166087,Yes,,2026-04-29,5,1000.0,2026-04-29 11:41:52,UAX Memphis
41,3-0089,68622,2015,Ford,Fusion,SE,BROWN,173258,Yes,1.3,2026-04-29,3,2900.0,2026-04-29 11:41:52,UAX Memphis
34,9-0506,68498,2012,Ford,Fusion,SE,BLUE,139872,Yes,0.0,2026-04-29,9,1350.0,2026-04-29 11:41:52,UAX Memphis
29,3-0047,70786,2015,Ford,Mustang,EcoBoost,GRAY,81835,Yes,4.2,2026-04-29,3,13100.0,2026-04-29 11:41:52,UAX Memphis
6,9-0615,71460,2020,Ford,T350 Vans,"T-350 148"" EL Hi Rf 9500 GVWR",WHITE,99841,Yes,,2026-04-29,9,12200.0,2026-04-29 11:41:52,UAX Memphis
